"countyfip","agegrp","rfrnc_yr","rfrnc_qtroy","qwi_emptotal","qwi_payroll"
35009,"A04",1995,3,4462,12977500
35009,"A05",1995,3,3913,15020225
35009,"A06",1995,3,2380,10450290
35009,"A07",1995,3,1175,5310714
35009,"A08",1995,3,334,954467
35009,"A04",1995,4,4488,15049798
35009,"A05",1995,4,4030,18247854
35009,"A06",1995,4,2510,14277450
35009,"A07",1995,4,1237,7436418
35009,"A08",1995,4,373,1348607
35009,"A04",1996,1,4220,14237355
35009,"A05",1996,1,3954,17911518
35009,"A06",1996,1,2431,13121873
35009,"A07",1996,1,1198,5946992
35009,"A08",1996,1,357,1181414
35009,"A04",1996,2,4357,14638503
35009,"A05",1996,2,4063,19070942
35009,"A06",1996,2,2516,14753342
35009,"A07",1996,2,1233,6611844
35009,"A08",1996,2,371,1377181
35009,"A04",1996,3,4447,13569550
35009,"A05",1996,3,4131,17052750
35009,"A06",1996,3,2447,11798086
35009,"A07",1996,3,1229,5830075
35009,"A08",1996,3,373,1253531
35009,"A04",1996,4,4520,15500697
35009,"A05",1996,4,4325,20018072
35009,"A06",1996,4,2655,15550577
35009,"A07",1996,4,1329,6997470
35009,"A08",1996,4,391,1399804
35009,"A04",1997,1,4221,14126463
35009,"A05",1997,1,4059,18935599
35009,"A06",1997,1,2542,13759889
35009,"A07",1997,1,1246,6287883
35009,"A08",1997,1,368,1336893
35009,"A04",1997,2,4319,14926070
35009,"A05",1997,2,4252,20551578
35009,"A06",1997,2,2611,16004058
35009,"A07",1997,2,1313,6938956
35009,"A08",1997,2,406,1391682
35009,"A04",1997,3,4338,13668631
35009,"A05",1997,3,4219,18660910
35009,"A06",1997,3,2427,12487792
35009,"A07",1997,3,1209,6102645
35009,"A08",1997,3,388,1298991
35009,"A04",1997,4,3992,14579119
35009,"A05",1997,4,4171,20486068
35009,"A06",1997,4,2573,15646885
35009,"A07",1997,4,1271,6887558
35009,"A08",1997,4,386,1488460
35009,"A04",1998,1,3837,13701554
35009,"A05",1998,1,4041,19257466
35009,"A06",1998,1,2495,14396428
35009,"A07",1998,1,1207,6457165
35009,"A08",1998,1,364,1251224
35009,"A04",1998,2,4040,14693792
35009,"A05",1998,2,4152,21432669
35009,"A06",1998,2,2714,16921346
35009,"A07",1998,2,1265,7380743
35009,"A08",1998,2,432,1538963
35009,"A04",1998,3,3966,13878637
35009,"A05",1998,3,4125,19356036
35009,"A06",1998,3,2583,13903397
35009,"A07",1998,3,1236,6447643
35009,"A08",1998,3,402,1388339
35009,"A04",1998,4,3939,15257361
35009,"A05",1998,4,4236,22464217
35009,"A06",1998,4,2826,17729325
35009,"A07",1998,4,1341,7748346
35009,"A08",1998,4,497,1656693
35009,"A04",1999,1,3726,13475727
35009,"A05",1999,1,4045,19819857
35009,"A06",1999,1,2659,15171282
35009,"A07",1999,1,1274,6770932
35009,"A08",1999,1,413,1503264
35009,"A04",1999,2,3899,14811466
35009,"A05",1999,2,4172,21929063
35009,"A06",1999,2,2725,17563930
35009,"A07",1999,2,1299,8049079
35009,"A08",1999,2,433,1632503
35009,"A04",1999,3,3952,13365892
35009,"A05",1999,3,4053,19615180
35009,"A06",1999,3,2593,14251022
35009,"A07",1999,3,1233,6786363
35009,"A08",1999,3,414,1435257
35009,"A04",1999,4,3745,14989032
35009,"A05",1999,4,4150,23398596
35009,"A06",1999,4,2782,18169693
35009,"A07",1999,4,1324,8418475
35009,"A08",1999,4,430,1761608
35009,"A04",2000,1,3683,13597026
35009,"A05",2000,1,4065,21208296
35009,"A06",2000,1,2781,16614811
35009,"A07",2000,1,1305,7511771
35009,"A08",2000,1,452,1514408
35009,"A04",2000,2,3847,15391555
35009,"A05",2000,2,4295,24095082
35009,"A06",2000,2,2936,19587705
35009,"A07",2000,2,1425,8947812
35009,"A08",2000,2,533,1837734
35009,"A04",2000,3,3793,12900167
35009,"A05",2000,3,4229,20284474
35009,"A06",2000,3,2914,15501658
35009,"A07",2000,3,1324,6732253
35009,"A08",2000,3,433,1478287
35009,"A04",2000,4,3650,14031421
35009,"A05",2000,4,4253,22641281
35009,"A06",2000,4,3052,19532824
35009,"A07",2000,4,1385,8701138
35009,"A08",2000,4,469,1781498
35009,"A04",2001,1,3584,13990710
35009,"A05",2001,1,4156,21739151
35009,"A06",2001,1,2977,18377499
35009,"A07",2001,1,1371,7991016
35009,"A08",2001,1,469,1653380
35009,"A04",2001,2,3911,15506227
35009,"A05",2001,2,4289,23562913
35009,"A06",2001,2,3217,22014849
35009,"A07",2001,2,1478,9670078
35009,"A08",2001,2,524,2221734
35009,"A04",2001,3,3963,13935401
35009,"A05",2001,3,4192,20016640
35009,"A06",2001,3,3095,17404484
35009,"A07",2001,3,1451,7897513
35009,"A08",2001,3,490,1745451
35009,"A04",2001,4,3950,15814508
35009,"A05",2001,4,4247,23795419
35009,"A06",2001,4,3271,22628841
35009,"A07",2001,4,1580,10468263
35009,"A08",2001,4,537,2271434
35009,"A04",2002,1,3796,14783503
35009,"A05",2002,1,4151,21666067
35009,"A06",2002,1,3182,21485805
35009,"A07",2002,1,1541,8950730
35009,"A08",2002,1,535,2072526
35009,"A04",2002,2,4004,16714512
35009,"A05",2002,2,4202,24241440
35009,"A06",2002,2,3297,23833032
35009,"A07",2002,2,1595,10717801
35009,"A08",2002,2,572,2257762
35009,"A04",2002,3,4080,15043124
35009,"A05",2002,3,4301,21143261
35009,"A06",2002,3,3330,19257151
35009,"A07",2002,3,1592,9093200
35009,"A08",2002,3,589,2114286
35009,"A04",2002,4,4127,17255527
35009,"A05",2002,4,4444,25660409
35009,"A06",2002,4,3555,25225864
35009,"A07",2002,4,1716,11751928
35009,"A08",2002,4,625,2646642
35009,"A04",2003,1,3954,16077570
35009,"A05",2003,1,4290,22942010
35009,"A06",2003,1,3512,22313593
35009,"A07",2003,1,1660,10511444
35009,"A08",2003,1,612,2295352
35009,"A04",2003,2,4131,18027034
35009,"A05",2003,2,4368,25955828
35009,"A06",2003,2,3677,26500874
35009,"A07",2003,2,1738,11982979
35009,"A08",2003,2,657,2884212
35009,"A04",2003,3,4297,16484456
35009,"A05",2003,3,4431,22420562
35009,"A06",2003,3,3707,21717964
35009,"A07",2003,3,1756,10387836
35009,"A08",2003,3,658,2539132
35009,"A04",2003,4,4404,19351099
35009,"A05",2003,4,4470,26562843
35009,"A06",2003,4,3890,27132474
35009,"A07",2003,4,1957,14377739
35009,"A08",2003,4,801,3108720
35009,"A04",2004,1,4018,16407021
35009,"A05",2004,1,4020,22285064
35009,"A06",2004,1,3464,22264325
35009,"A07",2004,1,1760,11298867
35009,"A08",2004,1,678,2647878
35009,"A04",2004,2,4187,18037927
35009,"A05",2004,2,4212,25057303
35009,"A06",2004,2,3661,25244186
35009,"A07",2004,2,1872,13945395
35009,"A08",2004,2,836,3207058
35009,"A04",2004,3,4220,16754402
35009,"A05",2004,3,4268,22587146
35009,"A06",2004,3,3815,22402284
35009,"A07",2004,3,1850,11886391
35009,"A08",2004,3,698,2952314
35009,"A04",2004,4,4393,19740006
35009,"A05",2004,4,4393,27459823
35009,"A06",2004,4,3892,26870294
35009,"A07",2004,4,1947,15584849
35009,"A08",2004,4,758,3544712
35009,"A04",2005,1,4249,18336072
35009,"A05",2005,1,4272,24300545
35009,"A06",2005,1,3865,25508192
35009,"A07",2005,1,1949,13297923
35009,"A08",2005,1,726,3104819
35009,"A04",2005,2,4367,20479483
35009,"A05",2005,2,4265,26956475
35009,"A06",2005,2,3931,28657761
35009,"A07",2005,2,1969,15251977
35009,"A08",2005,2,746,3375420
35009,"A04",2005,3,4405,19270878
35009,"A05",2005,3,4178,24122917
35009,"A06",2005,3,3908,25952670
35009,"A07",2005,3,1908,13531108
35009,"A08",2005,3,730,3380456
35009,"A04",2005,4,4493,20896718
35009,"A05",2005,4,4225,26799894
35009,"A06",2005,4,4029,28067833
35009,"A07",2005,4,1970,16486096
35009,"A08",2005,4,747,3550175
35009,"A04",2006,1,4440,20946435
35009,"A05",2006,1,4227,26144722
35009,"A06",2006,1,3953,28732987
35009,"A07",2006,1,1958,15542718
35009,"A08",2006,1,751,3449285
35009,"A04",2006,2,4388,20131628
35009,"A05",2006,2,3943,24799759
35009,"A06",2006,2,3663,26310740
35009,"A07",2006,2,1798,13600946
35009,"A08",2006,2,712,3748553
35009,"A04",2006,3,4547,21582083
35009,"A05",2006,3,4185,26476658
35009,"A06",2006,3,3902,28107806
35009,"A07",2006,3,1946,14749184
35009,"A08",2006,3,752,3663177
35009,"A04",2006,4,4556,23601108
35009,"A05",2006,4,4303,29677314
35009,"A06",2006,4,4073,33080627
35009,"A07",2006,4,2081,17060004
35009,"A08",2006,4,810,4701921
35009,"A04",2007,1,4461,21406355
35009,"A05",2007,1,4154,26453897
35009,"A06",2007,1,3996,29744872
35009,"A07",2007,1,1997,15146575
35009,"A08",2007,1,772,3726640
35009,"A04",2007,2,4687,23638437
35009,"A05",2007,2,4303,28998674
35009,"A06",2007,2,4100,32865400
35009,"A07",2007,2,2090,16834725
35009,"A08",2007,2,829,4501441
35009,"A04",2007,3,4600,22470734
35009,"A05",2007,3,4072,26106283
35009,"A06",2007,3,3979,30513003
35009,"A07",2007,3,2022,15139308
35009,"A08",2007,3,781,4058946
35009,"A04",2007,4,4716,23905427
35009,"A05",2007,4,4285,27914850
35009,"A06",2007,4,4209,31721964
35009,"A07",2007,4,2211,18288878
35009,"A08",2007,4,834,4766600
35009,"A04",2008,1,4582,23340268
35009,"A05",2008,1,4173,28139021
35009,"A06",2008,1,4117,32934212
35009,"A07",2008,1,2200,17485291
35009,"A08",2008,1,839,4227586
35009,"A04",2008,2,4852,24989703
35009,"A05",2008,2,4334,29658194
35009,"A06",2008,2,4312,34098735
35009,"A07",2008,2,2356,18857084
35009,"A08",2008,2,1014,5480635
35009,"A04",2008,3,4778,23731752
35009,"A05",2008,3,4125,26977231
35009,"A06",2008,3,4105,31009472
35009,"A07",2008,3,2233,16857357
35009,"A08",2008,3,889,5117566
35009,"A04",2008,4,4824,26104267
35009,"A05",2008,4,4218,29354969
35009,"A06",2008,4,4214,34480802
35009,"A07",2008,4,2357,20793220
35009,"A08",2008,4,917,5326951
35009,"A04",2009,1,4612,24696116
35009,"A05",2009,1,3974,27844549
35009,"A06",2009,1,4006,32022521
35009,"A07",2009,1,2240,17763341
35009,"A08",2009,1,881,4881756
35009,"A04",2009,2,4537,24346703
35009,"A05",2009,2,3957,28091683
35009,"A06",2009,2,3988,31813578
35009,"A07",2009,2,2199,18127404
35009,"A08",2009,2,918,5938230
35009,"A04",2009,3,4607,24191181
35009,"A05",2009,3,3860,25795905
35009,"A06",2009,3,3934,31266136
35009,"A07",2009,3,2196,17473673
35009,"A08",2009,3,889,4977854
35009,"A04",2009,4,4840,28173945
35009,"A05",2009,4,4209,31138822
35009,"A06",2009,4,4406,38525601
35009,"A07",2009,4,2548,23058995
35009,"A08",2009,4,961,6221838
35009,"A04",2010,1,4609,24663213
35009,"A05",2010,1,3934,27029624
35009,"A06",2010,1,4084,33240806
35009,"A07",2010,1,2352,18680483
35009,"A08",2010,1,914,5115124
35009,"A04",2010,2,4734,25968863
35009,"A05",2010,2,4103,29302644
35009,"A06",2010,2,4199,35246285
35009,"A07",2010,2,2413,19816133
35009,"A08",2010,2,972,6049652
35009,"A04",2010,3,4740,25168371
35009,"A05",2010,3,4005,26645358
35009,"A06",2010,3,4054,32013965
35009,"A07",2010,3,2365,18746199
35009,"A08",2010,3,976,5649066
35009,"A04",2010,4,4737,27903379
35009,"A05",2010,4,3961,30247902
35009,"A06",2010,4,4104,37619232
35009,"A07",2010,4,2450,22220296
35009,"A08",2010,4,957,6386195
35009,"A04",2011,1,4680,25862552
35009,"A05",2011,1,3922,28256576
35009,"A06",2011,1,4099,33300077
35009,"A07",2011,1,2428,19733589
35009,"A08",2011,1,964,5514646
35009,"A04",2011,2,4812,28219651
35009,"A05",2011,2,3968,30226325
35009,"A06",2011,2,4142,36270514
35009,"A07",2011,2,2541,22723150
35009,"A08",2011,2,994,6196252
35009,"A04",2011,3,4738,27216772
35009,"A05",2011,3,3912,28649411
35009,"A06",2011,3,3965,33799997
35009,"A07",2011,3,2485,20803870
35009,"A08",2011,3,963,5908320
35009,"A04",2011,4,4889,28953025
35009,"A05",2011,4,4059,31316332
35009,"A06",2011,4,4169,36640076
35009,"A07",2011,4,2668,24192163
35009,"A08",2011,4,1038,6439989
35009,"A04",2012,1,4737,28503056
35009,"A05",2012,1,4113,31236902
35009,"A06",2012,1,4040,35685558
35009,"A07",2012,1,2701,22804700
35009,"A08",2012,1,1039,6178251
35009,"A04",2012,2,4942,30033689
35009,"A05",2012,2,4153,33539315
35009,"A06",2012,2,4137,37636258
35009,"A07",2012,2,2765,25370730
35009,"A08",2012,2,1063,6985195
35009,"A04",2012,3,4881,28604975
35009,"A05",2012,3,3975,28777591
35009,"A06",2012,3,3996,33286018
35009,"A07",2012,3,2651,21624945
35009,"A08",2012,3,1041,6298484
35009,"A04",2012,4,5028,31602206
35009,"A05",2012,4,4208,33594413
35009,"A06",2012,4,4193,39680629
35009,"A07",2012,4,2870,27053701
35009,"A08",2012,4,1119,7933345
35009,"A04",2013,1,4679,28637251
35009,"A05",2013,1,3938,30344014
35009,"A06",2013,1,3936,34698879
35009,"A07",2013,1,2740,23572444
35009,"A08",2013,1,1066,6177663
35009,"A04",2013,2,4845,30627715
35009,"A05",2013,2,4014,32746137
35009,"A06",2013,2,3961,37022215
35009,"A07",2013,2,2782,26219352
35009,"A08",2013,2,1053,6676366
35009,"A04",2013,3,4840,29695548
35009,"A05",2013,3,3887,28983533
35009,"A06",2013,3,3817,32026994
35009,"A07",2013,3,2635,22283187
35009,"A08",2013,3,1034,6131907
35009,"A04",2013,4,4880,31399000
35009,"A05",2013,4,3990,31834238
35009,"A06",2013,4,3995,36526243
35009,"A07",2013,4,2800,26347549
35009,"A08",2013,4,1125,6942522
35009,"A04",2014,1,4777,30675728
35009,"A05",2014,1,3893,31118785
35009,"A06",2014,1,3919,34439461
35009,"A07",2014,1,2758,24165466
35009,"A08",2014,1,1119,6758974
35009,"A04",2014,2,4933,31861869
35009,"A05",2014,2,3985,32749103
35009,"A06",2014,2,3932,36848776
35009,"A07",2014,2,2825,26029734
35009,"A08",2014,2,1169,8744845
35009,"A04",2014,3,4856,30026160
35009,"A05",2014,3,3928,29778506
35009,"A06",2014,3,3774,31977586
35009,"A07",2014,3,2731,23759011
35009,"A08",2014,3,1173,7482844
35009,"A04",2014,4,5023,33185015
35009,"A05",2014,4,4083,33925576
35009,"A06",2014,4,3949,37505727
35009,"A07",2014,4,2847,28441930
35009,"A08",2014,4,1214,8743348
35009,"A04",2015,1,4887,31061974
35009,"A05",2015,1,3998,32064826
35009,"A06",2015,1,3805,34838636
35009,"A07",2015,1,2822,27117412
35009,"A08",2015,1,1191,7657068
35009,"A04",2015,2,5013,33127062
35009,"A05",2015,2,4102,34212811
35009,"A06",2015,2,3861,38021500
35009,"A07",2015,2,2895,27753514
35009,"A08",2015,2,1199,8631880
35009,"A04",2015,3,4810,29651807
35009,"A05",2015,3,3858,29360496
35009,"A06",2015,3,3625,31464493
35009,"A07",2015,3,2696,24004091
35009,"A08",2015,3,1107,7722400
35009,"A04",2015,4,4991,34215809
35009,"A05",2015,4,4406,35291313
35009,"A06",2015,4,4549,39549241
35009,"A07",2015,4,3367,31443930
35009,"A08",2015,4,1273,9294121
35009,"A04",2016,1,4599,30105774
35009,"A05",2016,1,3844,31666713
35009,"A06",2016,1,3660,34100095
35009,"A07",2016,1,2781,25743302
35009,"A08",2016,1,1125,7602237
35009,"A04",2016,2,4669,32086909
35009,"A05",2016,2,3939,34593403
35009,"A06",2016,2,3717,36825458
35009,"A07",2016,2,2860,28486758
35009,"A08",2016,2,1195,9066893
35009,"A04",2016,3,4574,30688033
35009,"A05",2016,3,3835,32688163
35009,"A06",2016,3,3516,33017044
35009,"A07",2016,3,2754,27333100
35009,"A08",2016,3,1139,8004390
35009,"A04",2016,4,4836,33141369
35009,"A05",2016,4,3970,34679723
35009,"A06",2016,4,3749,36329159
35009,"A07",2016,4,2880,30720500
35009,"A08",2016,4,1207,10059995
35009,"A04",2017,1,4584,31997015
35009,"A05",2017,1,3830,34759474
35009,"A06",2017,1,3627,36354874
35009,"A07",2017,1,2863,30381509
35009,"A08",2017,1,1150,9346285
35009,"A04",2017,2,4707,32858194
35009,"A05",2017,2,3925,35120008
35009,"A06",2017,2,3630,35572300
35009,"A07",2017,2,2895,30559066
35009,"A08",2017,2,1175,9112851
35009,"A04",2017,3,4548,29695915
35009,"A05",2017,3,3779,31921641
35009,"A06",2017,3,3443,31620952
35009,"A07",2017,3,2761,27615227
35009,"A08",2017,3,1138,8090506
35009,"A04",2017,4,4504,31814803
35009,"A05",2017,4,3871,34453846
35009,"A06",2017,4,3547,34445572
35009,"A07",2017,4,2893,30776133
35009,"A08",2017,4,1198,9294636
35009,"A04",2018,1,4462,31855419
35009,"A05",2018,1,3875,34749456
35009,"A06",2018,1,3460,33226051
35009,"A07",2018,1,2809,29256252
35009,"A08",2018,1,1164,8570989
35009,"A04",2018,2,4544,32023923
35009,"A05",2018,2,3976,35665950
35009,"A06",2018,2,3443,33076739
35009,"A07",2018,2,2856,28594454
35009,"A08",2018,2,1224,8841494
35009,"A04",2018,3,4417,29837916
35009,"A05",2018,3,3861,32871076
35009,"A06",2018,3,3288,29728028
35009,"A07",2018,3,2784,27243271
35009,"A08",2018,3,1184,8688858
35009,"A04",2018,4,4435,31757089
35009,"A05",2018,4,3976,36413329
35009,"A06",2018,4,3393,32806708
35009,"A07",2018,4,2911,30076055
35009,"A08",2018,4,1286,9808648
35009,"A04",2019,1,4244,31084117
35009,"A05",2019,1,3937,36522503
35009,"A06",2019,1,3308,32746890
35009,"A07",2019,1,2827,29584685
35009,"A08",2019,1,1246,9805986
35009,"A04",2019,2,4566,32284209
35009,"A05",2019,2,4222,38289252
35009,"A06",2019,2,3455,33445257
35009,"A07",2019,2,2959,29638454
35009,"A08",2019,2,1318,10229299
35009,"A04",2019,3,4610,32645478
35009,"A05",2019,3,4095,36152304
35009,"A06",2019,3,3325,30787843
35009,"A07",2019,3,2821,28439424
35009,"A08",2019,3,1293,10139480
35009,"A04",2019,4,4632,34653048
35009,"A05",2019,4,4178,38621600
35009,"A06",2019,4,3435,34136796
35009,"A07",2019,4,2931,30529681
35009,"A08",2019,4,1358,11112098
35009,"A04",2020,1,4601,35026307
35009,"A05",2020,1,4165,39644743
35009,"A06",2020,1,3446,34644025
35009,"A07",2020,1,2930,31410978
35009,"A08",2020,1,1343,10502148
